GKEY,TRUCK_ENTERED,EDATE,PHOUR,EXITED,PICK_YARD_POS,PICK_ROW_NBR,tv_trans_count,DROP_POS_ID,DROP_POS,DIST,DROP_ROW_NBR,DROP_POS_ID_FLD,DROP_POS_FLD,DIST_FLD,DROP_ROW_NBR_FLD,TT_MIN,TGT_TT,ROW_Feature,RTG,HAD_TROUBLE,TRK_IN_BTW,TRK_OPP,TOT,TRK_IN_ROW,TIER,AVG_30_MIN,RTG_Count
11510229,17-JAN-19 08:58:57,2019-01-17,9,17-JAN-19 11:03:03,334,J,2,484C2.D,484,310,C,484C2.D,484,320,C,102,3,14,RTG7,0,0,3,3,37,2,17.375,3
11512707,17-JAN-19 15:34:45,2019-01-17,16,17-JAN-19 17:47:14,452,I,2,252B3.C,252,660,B,252B3.B,252,670,B,102,3,16,RTG16,0,0,15,15,50,1,42.64705882,2
11512419,17-JAN-19 14:45:28,2019-01-17,15,17-JAN-19 16:58:00,338,L,2,242B7.C,242,556,B,242B7.B,242,566,B,103,3,13,RTG11,0,5,9,14,53,2,57.3125,3
11512964,17-JAN-19 16:32:19,2019-01-17,17,17-JAN-19 18:37:20,455,K,2,411A2.A,411,504,A,411A3.C,411,514,A,103,3,15,RTG5,0,4,10,14,39,1,57.27272727,2
11513015,17-JAN-19 16:45:47,2019-01-17,17,17-JAN-19 19:20:27,187,L,2,439M11.E,439,208,M,439M11.C,439,218,M,103,3,3,RTG20,0,0,6,6,41,1,57,2
11510328,17-JAN-19 09:16:03,2019-01-17,9,17-JAN-19 13:05:38,142,I,2,372M9.A,372,230,M,372M8.C,372,240,M,104,3,6,RTG6,0,0,8,8,35,1,18.85714286,5
11511551,17-JAN-19 12:32:28,2019-01-17,13,17-JAN-19 14:41:26,77,J,2,105D3.B,105,432,D,105D3.B,105,442,D,105,3,13,RTG8,0,0,14,14,54,1,61.66666667,2
11511897,17-JAN-19 13:29:21,2019-01-17,13,17-JAN-19 15:53:27,183,J,2,255B3.C,255,388,B,255B3.C,255,398,B,106,3,15,RTG21,0,3,13,16,65,3,74.77777778,2
11511126,17-JAN-19 11:21:28,2019-01-17,11,17-JAN-19 14:27:08,206,I,2,114B4.A,114,552,B,114B4.A,114,562,B,154,3,16,RTG6,0,0,8,8,32,1,16.83333333,2
11512785,17-JAN-19 15:51:43,2019-01-17,16,17-JAN-19 18:44:48,423,J,2,439M12.A,439,444,M,439M13.B,439,454,M,106,3,5,RTG2,0,0,1,1,63,2,98.42105263,2
11510535,17-JAN-19 09:48:10,2019-01-17,10,17-JAN-19 12:14:37,280,J,2,260M6.D,260,480,M,260M7.D,260,490,M,107,3,5,RTG24,0,2,5,7,48,1,66.9,4
11512547,17-JAN-19 15:07:21,2019-01-17,15,17-JAN-19 17:18:24,110,K,2,114A1.C,114,456,A,114A1.C,114,466,A,107,3,15,RTG5,0,10,9,19,53,3,51.53846154,3
11511327,17-JAN-19 11:57:09,2019-01-17,12,17-JAN-19 14:31:35,87,J,2,451E1.C,451,96,E,451E1.D,451,106,E,108,3,12,RTG8,0,0,13,13,56,3,56.83333333,4
11512449,17-JAN-19 14:51:19,2019-01-17,15,17-JAN-19 17:02:51,114,K,2,334B1.D,334,240,B,334B2.C,334,250,B,108,3,14,RTG5,0,8,8,16,50,3,51.64285714,3
11511131,17-JAN-19 11:21:56,2019-01-17,11,17-JAN-19 12:58:10,327,L,2,149B1.B,149,638,B,149B2.D,149,648,B,60,2,13,RTG9,0,0,7,7,39,1,23.25,2
11511143,17-JAN-19 11:21:57,2019-01-17,11,17-JAN-19 12:30:52,106,L,2,122B1.B,122,444,B,122B2.C,122,454,B,38,2,13,RTG9,0,0,8,8,40,4,23.25,2
11510033,17-JAN-19 08:27:06,2019-01-17,8,17-JAN-19 10:46:24,356,J,2,356B1.C,356,460,B,356B1.C,356,470,B,110,3,15,RTG7,0,0,1,1,31,2,35.63636364,2
11511133,17-JAN-19 11:21:57,2019-01-17,11,17-JAN-19 12:57:18,321,L,2,149B1.C,149,632,B,149B1.A,149,642,B,62,3,13,RTG9,0,0,8,8,40,1,23.25,2
11511841,17-JAN-19 13:20:34,2019-01-17,13,17-JAN-19 16:01:44,72,I,2,430M1.D,430,102,M,430M3.A,430,112,M,110,3,6,RTG6,0,21,0,21,56,3,58.22727273,2
11512183,17-JAN-19 14:13:44,2019-01-17,14,17-JAN-19 16:21:34,434,K,2,114H6.A,114,780,H,114H6.A,114,790,H,110,3,9,RTG20,0,0,19,19,51,3,56,4
11511931,17-JAN-19 13:35:16,2019-01-17,14,17-JAN-19 15:59:19,284,J,2,176B5.B,176,568,B,176B5.A,176,578,B,111,3,15,RTG7,0,0,23,23,68,3,69.2,5
11512203,17-JAN-19 14:16:59,2019-01-17,14,17-JAN-19 16:25:40,430,K,2,430M2.D,430,460,M,430M3.B,430,470,M,111,3,4,RTG20,0,5,15,20,51,1,55.21428571,4
11511270,17-JAN-19 11:22:58,2019-01-17,11,17-JAN-19 13:35:13,226,L,2,272M1.B,272,414,M,272M5.D,272,424,M,109,3,3,RTG25,0,0,6,6,42,1,25.83333333,2
11511431,17-JAN-19 12:15:12,2019-01-17,12,17-JAN-19 14:26:31,435,L,2,241D1.D,241,654,D,241D1.D,241,664,D,112,3,11,RTG11,0,2,1,3,40,1,43,4
11511482,17-JAN-19 12:23:29,2019-01-17,12,17-JAN-19 15:04:54,421,J,2,463B8.B,463,418,B,463B8.A,463,428,B,112,3,15,RTG24,0,2,1,3,58,1,74,4
11511766,17-JAN-19 13:08:56,2019-01-17,13,17-JAN-19 15:50:43,183,J,2,255B3.C,255,388,B,255B3.A,255,398,B,112,3,15,RTG21,0,2,12,14,61,1,47.3,2
11512479,17-JAN-19 14:56:04,2019-01-17,15,17-JAN-19 17:41:18,288,J,2,242B6.C,242,506,B,242B4.B,242,516,B,112,3,15,RTG24,0,9,2,11,66,1,94.05882353,3
11509585,17-JAN-19 07:04:29,2019-01-17,7,17-JAN-19 10:07:33,427,J,2,453E6.B,453,434,E,453E6.A,453,444,E,113,3,12,RTG24,0,0,1,1,10,3,12.83333333,2
11512275,17-JAN-19 14:24:51,2019-01-17,14,17-JAN-19 16:43:40,106,L,2,302D4.A,302,264,D,302D4.A,302,274,D,113,3,11,RTG23,0,12,1,13,50,1,43.08333333,4
11512641,17-JAN-19 15:21:19,2019-01-17,15,17-JAN-19 17:42:48,245,K,2,245B2.A,245,460,B,245B2.A,245,470,B,114,3,14,RTG20,0,6,13,19,62,2,52.44444444,3
11511302,17-JAN-19 11:48:37,2019-01-17,12,17-JAN-19 14:22:36,314,K,2,438E3.C,438,336,E,438E3.D,438,346,E,117,3,11,RTG13,0,0,5,5,21,1,32.58333333,3
11511458,17-JAN-19 12:18:53,2019-01-17,12,17-JAN-19 15:03:26,367,J,2,255B4.A,255,572,B,255B5.D,255,582,B,118,3,15,RTG7,0,8,1,9,57,1,76.18181818,4
